Year,BOT Resolution Number,Campus,Gender,Year Level,Basis/Reason,Category,Status,Residence
2013,27/08/2013,CVC,M,3rd Year,To migrate to the U.S. to study,Migration,Withdrawal,Intern
2013,27/08/2013,CVISC,M,Grade 7,Separation anxiety from his family,Mental Health,Withdrawal,Extern
2013,30/09/2013,MC,F,Grade 9,Health reasons - diagnosed with Major Depressive Disorder,Mental Health,Withdrawal,Extern
2013,30/09/2013,CVISC,M,Grade 7,Stress and separation anxiety from his family,Mental Health,Withdrawal,Intern
2013,2013-11-36,BRC,M,Grade 7,Health reasons - diagnosed with severe bronchial asthma and skin allergy,Medical,Withdrawal,Intern
2013,2013-12-40,SMC,F,3rd Year,Health reasons,Medical,Withdrawal,Extern
2013,2013-12-40,SMC,F,Grade 7,Commission of a major offense,Behavior,Withdrawal,Intern
2014,26/08/2014,IRC,F,Grade 8,Underwent major operation when his right wrist broke in a bicycle accident,Medical,Withdrawal,Intern
2014,26/08/2014,MC,M,Grade 8,Health reasons - diagnosed with Congenital Heart Defect: Single Ventricle with Malposition of the great arteries,Medical,Withdrawal,Extern
2014,26/08/2014,EVC,M,Grade 7,"Victim of Typhoon Yolanda, transferred and settled in Metro Manila",Others,Withdrawal,Intern
2014,26/08/2014,EVC,M,Grade 8,"Victim of Typhoon Yolanda, transferred and settled in Metro Manila",Others,Withdrawal,Extern
2014,26/08/2014,EVC,F,Grade 8,Migrated with her family to Australia after their homes were destroyed by Super Typhoon Yolanda,Others,Withdrawal,Extern
2014,26/08/2014,EVC,M,Grade 8,"Transferred to their residence in Calbayog City, Samar due to health reasons",Medical,Withdrawal,Extern
2014,26/08/2014,EVC,F,3rd Year,"Victim of Typhoon Yolanda, transferred and settled in Metro Manila",Others,Withdrawal,Intern
2014,2014-10-40,MC,F,Grade 8,Health reasons - diagnosed to have Bipolar Disorder and Obsessive Compulsive Disorder (was on LOA in 2013-BOT Resolution No. 2013-09-30),Mental Health,Withdrawal,Extern
2014,2014-12-50,IRC,M,Grade 7,Personal and family matters,Family Problem,Withdrawal,Intern
2014,2014-12-50,CMC,F,Grade 9,Transfer to public high school near her residence,Others,Withdrawal,Intern
